No.,No. in,Title,Directed by,Written by,Original release date,Prod.,U.S. viewers,IMDB Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,7,"""Bondage and Beta Male Sexuality""",Tristram Shapeero,Dan Guterman,"February 27, 2014",507,2.56[127],7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,8,"""App Development and Condiments""",Rob Schrab,Jordan Blum & Parker Deay,"March 6, 2014",508,2.79[128],8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,9,"""VCR Maintenance and Educational Publishing""",Tristram Shapeero,Donald Diego,"March 13, 2014",509,2.77[129],7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,10,"""Advanced Advanced Dungeons & Dragons""",Joe Russo,Matt Roller,"March 20, 2014",510,3.32[130],8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,11,"""G.I. Jeff""",Rob Schrab,Dino Stamatopoulos,"April 3, 2014",513,2.50[131],7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"""Government Issue Jeff""",,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,12,"""Basic Story""",Jay Chandrasekhar,Carol Kolb,"April 10, 2014",512,2.56[132],8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,13,"""Basic Sandwich""",Rob Schrab,Ryan Ridley,"April 17, 2014",511,2.87[133],8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season 6 (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main article: Community season 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The sixth season of Community premiered on March 17, 2015, and ended on June 2, 2015. It consists of 13 episodes. This was the only season to air on Yahoo Screen.[134] Yahoo! considered a seventh season but due to contractual issues did not renew the series.[135] Shortly after Yahoo! Screen was itself discontinued due to large financial losses.[136]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season six episodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,No. in,Title,Directed by,Written by,Original release date,Prod.,IMDB Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,season,,,,,code [137],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1,"""Ladders""",Rob Schrab,Dan Harmon & Chris McKenna,"March 17, 2015",602,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2,"""Lawnmower Maintenance and Postnatal Care""",Jim Rash & Nat Faxon,Alex Rubens,"March 17, 2015",601,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,3,"""Basic Crisis Room Decorum""",Bobcat Goldthwait,Monica Padrick,"March 24, 2015",605,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,4,"""Queer Studies and Advanced Waxing""",Jim Rash & Nat Faxon,Matt Lawton,"March 31, 2015",603,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,5,"""Laws of Robotics and Party Rights""",Rob Schrab,Dean Young,"April 7, 2015",604,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,6,"""Basic Email Security""",Jay Chandrasekhar,Matt Roller,"April 14, 2015",606,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,7,"""Advanced Safety Features""",Rob Schrab,Carol Kolb,"April 21, 2015",607,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,8,"""Intro to Recycled Cinema""","Victor Nelli, Jr.",Clay Lapari,"April 28, 2015",608,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,9,"""Grifting 101""",Rob Schrab,Ryan Ridley,"May 5, 2015",609,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,10,"""Basic RV Repair and Palmistry""",Jay Chandrasekhar,Dan Guterman,"May 12, 2015",610,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,11,"""Modern Espionage""",Rob Schrab,Mark Stegemann,"May 19, 2015",611,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,12,"""Wedding Videography""",Adam Davidson,Briggs Hatton,"May 26, 2015",612,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,13,"""Emotional Consequences of Broadcast Television""",Rob Schrab,Dan Harmon & Chris McKenna,"June 2, 2015",613,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
